PRCP,TMAX,TMIN,RAIN
0.23,38,29,1
0.07,36,29,1
0.25,32,24,1
0.01,24,6,1
0.1,26,6,1
0,28,14,0
0.08,38,22,1
0.95,39,35,1
0.31,37,33,1
0.22,33,31,1
0.13,35,30,1
0.33,42,31,1
0.05,35,29,1
0,32,18,0
1.27,19,11,1
0.16,16,8,1
0.02,21,15,1
0,22,13,0
0,24,15,0
0.29,25,9,1
1.07,42,24,1
1.46,48,37,1
0.43,48,42,1
0.47,45,36,1
0.04,36,25,1
0,26,10,0
0.24,24,7,1
1.03,35,21,1
0,28,19,0
0,25,7,0
0,24,6,0
0,22,7,0
0,20,0,0
0,27,1,0
0,30,8,0
0.01,35,8,1
0.27,41,33,1
0.07,43,34,1
0.29,40,35,1
0.08,46,35,1
0.6,44,35,1
0.02,45,37,1
0.21,42,36,1
0,44,39,0
0.79,44,38,1
0.23,52,41,1
0.28,54,42,1
0.45,54,46,1
0.15,50,39,1
0.01,54,39,1
0.04,52,38,1
0,46,34,0
0.03,46,36,1
0.06,47,37,1
0.02,50,40,1
0.83,49,39,1
0.15,49,41,1
0.8,58,41,1
0.35,53,36,1
0,46,31,0
0,50,29,0
0,55,35,0
0.27,50,39,1
2.08,56,46,1
0.85,47,42,1
0.36,49,40,1
0,46,36,0
0,46,28,0
0.06,47,36,1
0.11,44,35,1
0.04,42,31,1
0,41,27,0
0.03,43,32,1
0.12,47,33,1
0,49,39,0
0.05,49,40,1
0.98,49,42,1
1.05,54,40,1
0.88,46,40,1
0.17,52,38,1
0.19,46,33,1
0.23,49,34,1
0.08,45,36,1
0.23,46,34,1
0.03,50,35,1
0,51,35,0
0.36,46,38,1
0.01,47,36,1
0,47,31,0
0,52,28,0
0.06,45,41,1
0.16,50,41,1
0.04,51,41,1
0.1,47,38,1
0,52,35,0
0,61,32,0
0.1,62,39,1
0.02,52,37,1
0,57,37,0
0.05,50,40,1
0,52,38,0
0,58,34,0
0.3,58,43,1
0.61,54,41,1
0,57,38,0
0.08,51,38,1
0.75,49,43,1
0.41,53,42,1
0.02,52,40,1
0,61,34,0
0,74,45,0
0,56,35,0
0,50,33,0
0.03,50,35,1
0,52,33,0
0,57,30,0
0.04,54,40,1
0.08,46,38,1
0.24,52,37,1
0,60,34,0
0,66,36,0
0.05,63,38,1
0.08,55,41,1
0,54,36,0
0.01,53,35,1
0.05,49,43,1
0.1,52,39,1
0,53,38,0
0,60,34,0
0,61,41,0
0.01,55,40,1
0,66,49,0
0,73,44,0
0,68,48,0
0,65,44,0
0,63,39,0
0,62,40,0
0.04,61,41,1
0.28,53,41,1
0,55,37,0
0,62,46,0
0,67,43,0
0,63,47,0
0.02,56,43,1
0,61,37,0
0,69,37,0
0,79,40,0
0.04,73,45,1
0.14,60,47,1
0.01,63,45,1
0,63,46,0
0,65,43,0
0,72,41,0
0,67,47,0
0,78,47,0
0,84,46,0
0,70,44,0
0.06,61,43,1
0.22,52,45,1
0.07,55,47,1
0,64,48,0
0,72,46,0
0.02,73,53,1
0,75,51,0
0.01,59,51,1
0.02,64,51,1
0.01,58,52,1
0,73,54,0
0,84,54,0
0,65,56,0
0,73,55,0
0,80,53,0
0.01,69,54,1
0.07,62,49,1
0.05,61,49,1
0.01,64,48,1
0,66,48,0
0.01,68,47,1
0,78,49,0
0.03,78,57,1
0,82,57,0
0,81,57,0
0,77,57,0
0,77,50,0
0,81,51,0
0,80,47,0
0,79,50,0
0,78,51,0
0,73,54,0
0,69,52,0
0.21,66,47,1
0.01,68,53,1
0,68,53,0
0,72,52,0
0,80,51,0
0,76,50,0
0,74,55,0
0,69,51,0
0,75,52,0
0,83,48,0
0,77,53,0
0.36,77,54,1
0,77,51,0
0,86,56,0
0,82,54,0
0,81,54,0
0,81,53,0
0,79,53,0
0,70,56,0
0.23,68,54,1
0.19,64,53,1
0,68,55,0
0,72,52,0
0,78,52,0
0,83,53,0
0.03,67,52,1
0,68,51,0
0,71,44,0
0,67,49,0
0.12,65,53,1
0,72,55,0
0,76,50,0
